name_cn,name_en,type,grapes,favor,age,market_price,price,score,click,factory,location
巴克海别样鼓手长相思干白葡萄酒,"Bakkheia Different Drummer Sauvignon Blanc, Preston Valley, Australia",白葡萄酒,长相思,柑橘类水果 热情果,2014,-1,-1,,505,巴克海酒庄,澳大利亚-吉奥格拉非
野蔷薇会说话的青蛙起泡酒,"Briar Rose Winery Talking Frog Wine Larger, Temecula Valley, USA",起泡酒,维欧尼,杏桃 蜂蜜,-1,-1,-1,,991,野蔷薇酒庄,美国-加利福尼亚州
亨利高酒庄圣乔治（夜圣乔治一级园）干红葡萄酒,"Domaine Henri Gouges Les Saints-Georges, Nuits-Saint-Georges Premier Cru, France",红葡萄酒,黑皮诺 100%,有个性的 清新的 结构精细,2010,2490,-1,"勃艮第葡萄酒网:0.94
《葡萄酒倡导家》:0.93
杰西斯·罗宾逊:0.85
《醇鉴》:0.25
《醇鉴》:0.8",4933,亨利高酒庄,法国-夜圣乔治
绅士赤霞珠红葡萄酒,"Gentleman Farmer Wines Cabernet Sauvignon, Napa Valley, USA",红葡萄酒,赤霞珠,黑胡椒 咖啡 甘草,2012,-1,-1,,599,绅士酒庄,美国-纳帕谷
雷文斯伍德图示混酿干红葡萄酒,"Ravenswood Icon, Sonoma County, USA",红葡萄酒,"西拉
慕合怀特
歌海娜",,2009,1310,-1,"史蒂芬·坦泽:0.91
史蒂芬·坦泽:0.91
《葡萄酒爱好者》:0.87
史蒂芬·坦泽:0.91
酒窖追踪:0.88",1596,雷文斯伍德酒庄,美国-索诺玛县
奥瑞克庄园红葡萄酒,"Chateau d'Aurilhac, Haut-Medoc, France",红葡萄酒,"梅洛 49%
赤霞珠 46%
味而多 2.5%
品丽珠 2.5%",黑醋栗 黑樱桃 药草,2011,200,160,"帕克团队:0.89
《葡萄酒评论》:0.85
《葡萄酒评论》:0.8
《葡萄酒评论》:0.75",9212,奥瑞克庄园,法国-上梅多克
洛伦佐酒庄马丁园（梅尔居雷一级园）红葡萄酒,"Domaine Lorenzon Champs Martin Red, Mercurey 1er Cru, France",红葡萄酒,黑皮诺 100%,樱桃 覆盆子 紫罗兰 香草,2013,745,595,"帕克团队:0.93
帕克团队:0.92
蒂姆·阿特金:0.93
《法国葡萄酒向导杂志》:0.25
杰西斯·罗宾逊:0.8",4303,洛伦佐酒庄,法国-梅尔居雷
拉图吉罗富士乐（马朗日一级园）干红葡萄酒,"Domaine Latour-Giraud La Fussiere, Maranges Premier Cru, France",红葡萄酒,黑皮诺 100%,,2012,-1,-1,"《葡萄酒评论》:0.25
勃艮第葡萄酒网:0.88
《葡萄酒倡导家》:0.86",2828,拉图吉罗酒庄,法国-马朗日
双橡木仙粉黛干红葡萄酒,"Double Oak Vineyards & Winery Zinfandel, Nevada County, USA",红葡萄酒,仙粉黛,黑樱桃 胡椒 雪茄,2010,-1,-1,,360,双橡木酒庄,美国-加利福尼亚州
伯吉斯酒庄味而多干红葡萄酒,"Burgess Cellars Petit Verdot, Napa Valley, USA",红葡萄酒,味而多,,2010,-1,-1,,898,伯吉斯酒庄,美国-加利福尼亚州
安塞尔米圣文森佐干白葡萄酒,"Roberto Anselmi San Vicenzo, Veneto, Italy",白葡萄酒,"霞多丽
卡尔卡耐卡",,2011,260,-1,"酒窖追踪:0.88
杰西斯·罗宾逊:0.25
酒窖追踪:0.85
酒窖追踪:0.88
酒窖追踪:0.87",1516,安塞尔米酒庄,意大利-威尼托
同步齿轮帕索拉拉黑皮诺干红葡萄酒,"Synchromesh Wines Palo Solara Pinot Noir, Okanagan Valley, Canada",红葡萄酒,黑皮诺,,2012,-1,-1,,820,同步齿轮酒庄,加拿大-欧肯那根谷
贾克斯Y3桃红葡萄酒,"Jax Vineyards Y3 Rose, Napa Valley, USA",桃红葡萄酒,黑皮诺,草莓 黄樱桃 覆盆子,2014,-1,-1,,408,贾克斯酒庄,美国-纳帕谷
塔利贾里奇酒庄赛美蓉白葡萄酒,"Talijancich Semillon, Swan Valley, Western Australia",白葡萄酒,赛美蓉,柑橘 蜂蜜 核果 香草,2011,-1,-1,,717,塔利贾里奇酒庄,澳大利亚-天鹅地区
嘉德山珍藏西拉红葡萄酒,"Judd's Hill Syrah Reserve, Napa Valley, USA",红葡萄酒,西拉,李子 可乐 抹茶,2013,-1,-1,,349,嘉德山酒庄,美国-纳帕谷
林格罗窖藏系列西拉干红葡萄酒,"Lyngrove Collection Syrah, Stellenbosch, South Africa",红葡萄酒,西拉,薰衣草 黑莓 肉感 泥土 香料,2014,-1,-1,,1513,林格罗酒庄,南非-斯特兰德
贝克珍藏霞多丽干白葡萄酒,"Becker Vineyards Reserve Chardonnay, Texas High Plains, USA",白葡萄酒,霞多丽,,-1,385,-1,,780,贝克酒庄,-美国
塔兰安檀酩酿特极干型白中白香槟,"Tarlant La Vigne d'Antan Blanc de Blancs Extra Brut, Champagne, France",起泡酒,霞多丽,矿物质 杏仁 榛子 香蕉 苹果,-1,1040,-1,"《葡萄酒观察家》:0.93
《葡萄酒观察家》:0.93
《葡萄酒观察家》:0.92",2178,塔兰香槟,法国-香槟
